node40 node22 4
node42 node27 9
node31 node3 7
node38 node21 10
node30 node17 8
node39 node5 2
node3 node24 7
node23 node4 2
node10 node44 3
node33 node4 6
node8 node27 10
node46 node42 6
node22 node6 6
node23 node18 2
node45 node16 9
node47 node5 4
node47 node46 7
node12 node5 10
node11 node1 2
node28 node16 3
node18 node44 10
node43 node37 6
node39 node19 9
node48 node30 2
node44 node41 8
node38 node6 5
node2 node41 2
node7 node11 2
node30 node18 4
node39 node18 2
node44 node39 2
node36 node27 4
node9 node41 2
node12 node9 5
node48 node35 6
node42 node44 1
node24 node38 6
node22 node26 1
node43 node0 10
node7 node5 5
node25 node17 7
node32 node48 7
node19 node9 5
node16 node15 3
node23 node30 2
node34 node42 5
node35 node20 3
node35 node37 7
node45 node41 1
node8 node5 3
node46 node29 10
node8 node4 8
node22 node45 10
node45 node1 1
node13 node43 6
node29 node24 6
node10 node6 10
node30 node25 5
node20 node9 1
node13 node11 1
node22 node4 1
node1 node25 2
node33 node39 8
node37 node46 2
node41 node21 7
node19 node23 3
node44 node38 7
node14 node16 8
node48 node47 3
node39 node3 8
node25 node5 10
node1 node48 1
node17 node11 2
node25 node47 4
node14 node43 5
node6 node42 1
node25 node20 3
node8 node10 7
node4 node27 8
node2 node5 6
node14 node21 3
node14 node1 6
node11 node19 6
node37 node34 5
node13 node11 7
node41 node12 10
node33 node40 5
node38 node40 9
node15 node18 1
node25 node1 9
